stadium ;city ;state;country;home_team;capacity;geo1;geo2
Madison Square Garden;New York;New York;USA;New York Nicks;19,812;40.750556;-73.993611
Barclays Center;Brooklyn;New York;USA;Brooklyn Nets;17,732;40.682661;-73.975225
TD Garden;Boston;Massachusetts;USA;Boston Celtics;18,624;42.366303;-71.062228
Wells Fargo Center;Philadelphia;Pennsylvania;USA;Philadelphia 76ers;20,328;39.901111;-75.171944
Capital One Arena;Washington;D.C.;USA;Washington Wizards;20,356;38.898056;-77.020833
Spectrum Center;Charlotte ;North Carolina;USA;Charlotte Hornets;19,077;35.225000;-80.839167
Philips Arena;Atlanta;Georgia;USA;Atlanta Hawks;18,118;33.757222;-84.396389
Amway Center;Orlando;Florida;USA;Orlando Magic;18,846;28.5392261;-81.3860422
American Airlines Arena;Miami;Florida;USA;Miami Heat;19,600;25.781389;-80.188056
Air Canada Centre;Toronto;Ontario;Canada;Toronto Raptors;19,800;43.643333;-79.379167
Quicken Loans Arena;Cleveland;Ohio;USA;Cleveland Cavaliers;20,562;41.496389;-81.688056
Little Caesars Arena;Detroit;Michigan;USA;Detroit Pistons;20,491;42.341172;-83.054911
Bankers Life Fieldhouse;Indianapolis;Indiana;USA;Indiana Pacers;17,923;39.763889;-86.155556
United Center;Chicago;Illinois;USA;Chicago Bulls;20,917;41.880556;-87.674167
Moda Center;Portland;Oregon;USA;Portland Trail Blazers;19,980;45.531667;-122.666667
Oracle Arena;Oakland;California;USA;Gold State Warriors;19,596;37.750278;-122.203056
Target Center;Minneapolis;Minnesota;USA;Minnesota Timberwolves;19,356;44.979444;-93.276111
American Airlines Center;Dallas;Texas;USA;Dallas Mavericks;19,200;32.790556;-96.810278
Pepsi Center;Denver;Colorado;USA;Denver Nuggets;19,155;39.748611;-105.007500
Staples Center;Los Angeles;California;USA;Los Angeles Lakers;19,060;34.043056;-118.267222
Staples Center;Los Angeles;California;USA;Los Angeles Clippers;19,060;34.043056;-118.267222
Talking Stick Resort Arena;Phoenix;Arizona;USA;Phoenix Suns;18,422;33.445833;-112.071389
AT&T Center;San Antonio;Texas;USA;San Antonio Spurs;18,418;29.426944;-98.4375
Vivint Smart Home Arena;Salt Lake City;Utah;USA;Utah Jazz;18,303;40.768333;-111.901111
Chesapeake Energy Arena;Oklahoma City;Oklahoma;USA;Oklahoma City Thunder;18,203;35.463333;-97.515
FedExForum;Memphis;Tennessee;USA;Memphis Grizzlies;18,119;35.138333;-90.050556
Toyota Center;Houston;Texas;USA;Houston Rockets;18,055;29.750833;-95.362222
Golden 1 Center;Sacramento;California;USA;Sacrmento Kings;17,608;38.580361;-121.499611
Wisconsin Entertainment and Sports Center;Milwaukee;Wisconsin;USA;Milwaukee Bucks;17,500;43.045028;-87.918167
Smoothie King Center;New Orleans;Louisiana;USA;New Oreans Pelicans;16,867;29.948889;-90.081944